,price,area,bedrooms,latitude,longitude
503,7.8,70,2.0,21.0718111,105.7900863
504,29.9,145,4.0,21.0622561,105.7841145
505,10.5,85,2.0,21.0532763,105.7977363
506,10.3,81,2.0,21.0643381,105.8062335
507,6.1,76,3.0,21.0554083,105.7795961
508,14.0,128,4.0,21.0626747,105.7875971
509,12.9,109,3.0,21.0626747,105.7875971
510,12.6,114,3.0,21.0532763,105.7977363
511,10.3,96,3.0,21.0622561,105.7841145
512,52.5,300,6.0,21.0622561,105.7841145
513,49.5,200,5.0,21.0622561,105.7841145
514,39.0,300,3.0,21.0832462,105.7811303
515,28.0,150,10.0,10.8040516,106.6263463
516,4.1,56,2.0,21.0854028,105.780628
517,4.68,54,2.0,21.0554083,105.7795961
518,7.8,92,3.0,21.0622561,105.7841145
519,26.0,90,6.0,21.0718111,105.7900863
520,9.5,45,5.0,21.0874318,105.8161173
521,17.0,80,3.0,21.0669503,105.7791
522,59.0,145,6.0,21.0502392,105.7526914
524,27.0,125,5.0,21.0718111,105.7900863
525,12.0,42,5.0,21.1776799,106.0692742
526,10.3,47,8.0,21.0474387,105.7633714
527,6.7,32,3.0,21.0931473,105.7733983
528,15.9,50,6.0,16.016326,108.2566913
529,18.5,55,8.0,21.0718111,105.7900863
530,10.6,42,1.0,21.0669503,105.7791
531,9.9,46,9.0,21.0474387,105.7633714
532,26.0,62,5.0,21.0520091,105.7362606
533,11.3,47,9.0,21.0474387,105.7633714
534,8.5,46,4.0,21.1776799,106.0692742
535,11.0,80,3.0,21.1844204,106.0678927
536,6.8,82,4.0,21.0718111,105.7900863
537,4.4,63,2.0,21.0877222,105.7854689
538,3.75,56,2.0,21.0854028,105.780628
539,5.9,77,3.0,21.0877222,105.7854689
540,14.7,55,8.0,21.0669503,105.7791
542,16.0,80,5.0,21.0372649,105.7760404
543,11.0,96,3.0,21.1776799,106.0692742
544,9.6,57,2.0,21.1844204,106.0678927
545,12.7,50,2.0,21.0669503,105.7791
546,11.8,75,2.0,21.1776799,106.0692742
547,11.0,75,2.0,21.1776799,106.0692742
